q,n,kind,lambda_q,ratio
82,100,composite,40,8.685889638065035
83,100,prime,82,17.806073758033325
84,100,composite,6,1.3028834457097553
85,100,composite,16,3.474355855226014
86,100,composite,42,9.120184119968288
87,100,composite,28,6.080122746645525
88,100,composite,10,2.1714724095162588
89,100,prime,88,19.108957203743078
90,100,composite,12,2.6057668914195107
91,100,composite,12,2.6057668914195107
92,100,composite,22,4.777239300935769
93,100,composite,30,6.514417228548777
94,100,composite,46,9.988773083774792
95,100,composite,36,7.817300674258532
96,100,composite,8,1.737177927613007
97,100,prime,96,20.846135131356085
98,100,composite,42,9.120184119968288
99,100,composite,30,6.514417228548777
100,100,composite,20,4.3429448190325175
101,100,prime,100,21.71472409516259
102,100,composite,16,3.474355855226014
103,100,prime,102,22.149018577065842
104,100,composite,12,2.6057668914195107
105,100,composite,12,2.6057668914195107
106,100,composite,52,11.291656529484547
107,100,prime,106,23.017607540872344
108,100,composite,18,3.908650337129266
109,100,prime,108,23.451902022775595
110,100,composite,20,4.3429448190325175
111,100,composite,36,7.817300674258532
112,100,composite,12,2.6057668914195107
113,100,prime,112,24.3204909865821
114,100,composite,18,3.908650337129266
115,100,composite,44,9.554478601871539
116,100,composite,28,6.080122746645525
117,100,composite,12,2.6057668914195107
118,100,composite,58,12.594539975194301
119,100,composite,48,10.423067565678043
120,100,composite,4,0.8685889638065035
2,1000,prime,1,0.14476482730108395
3,1000,prime,2,0.2895296546021679
4,1000,prime_power,2,0.2895296546021679
5,1000,prime,4,0.5790593092043358
6,1000,composite,2,0.2895296546021679
7,1000,prime,6,0.8685889638065036
8,1000,prime_power,2,0.2895296546021679
9,1000,prime_power,6,0.8685889638065036
10,1000,composite,4,0.5790593092043358
11,1000,prime,10,1.4476482730108395
12,1000,composite,2,0.2895296546021679
13,1000,prime,12,1.7371779276130073
14,1000,composite,6,0.8685889638065036
15,1000,composite,4,0.5790593092043358
16,1000,prime_power,4,0.5790593092043358
17,1000,prime,16,2.316237236817343
18,1000,composite,6,0.8685889638065036
19,1000,prime,18,2.605766891419511
20,1000,composite,4,0.5790593092043358
21,1000,composite,6,0.8685889638065036
